nr	id	cluster	status	bucket	target_scope	workstream	milestone	rule	heuristic	title_head
510	BUG-53	CONN	open	assigned	kumbuka	Produktlinie	5	cluster:CONN	no	Discovery-Schicht von log.jbaconsult.com reparieren: beide Well-Known-Pfade, kei
509	CHORE-358	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Planungsschicht der Worklist: Arbeitsstrang als vierte Adressklasse, Meilenstein
508	CHORE-357	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Steuerungskorpus nachtragen: Sprints 173 und 174 sowie Satelliten 15 bis 17 fehl
507	BUG-52	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch-Dienst: Metadaten-Lesemodell ist Map<String,String> und scheitert an de
506	BUG-51	CONN	open	assigned	kumbuka	Produktlinie	5	cluster:CONN	no	cimd-proxy weist normalisierte resource-URI ab: Abgleich gegen die Ressourcentab
505	CHORE-356	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	SQL-Importskript: den Steuerungskorpus aus dem Dateispeicher des Vorgaengers in 
504	CHORE-355	DEPLOY	open	assigned	kumbuka	Betrieb	5	cluster:DEPLOY	no	Steuerungskorpus aus dem Python-Logbuch in das Schema dispatch migrieren: SQL-Im
503	FEAT-95	CONN	open	assigned	kumbuka	Produktlinie	5	cluster:CONN	no	cimd-proxy v0.2.0: scopes_supported, offline_access als Vorgabe, und DCR neben C
502	FEAT-94	CONN	done	assigned	kumbuka	Produktlinie	5	cluster:CONN	no	cimd-proxy: MCP-Autorisierungsproxy vor Keycloak, CIMD nach aussen, OIDC nach hi
501	CHORE-354	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Kennungsfrage bei accept entscheiden: Adresse und Geschaeftskennung sind unter d
500	FEAT-93	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Worklist-Dienst benutzbar machen: die sechs ungebauten Domaenenverben, Inbetrieb
499	CHORE-353	HK	open	assigned	kumbuka	Architektur		named-exception:architektur	no	Qualitaet der Leitplankenknoten: Problem und Dringlichkeit als Pflichtteil, und 
498	CHORE-352	CORE	open	assigned	kumbuka	Produktlinie		cluster:CORE	no	Code-Review-Methodik: ein zweiter unabhaengiger Pruefapparat am Dispatch, mit Em
497	CHORE-351	DEPLOY	planned	assigned	kumbuka	Betrieb	5	cluster:DEPLOY	no	Worklist-Dienst, Betriebsstrang: Matrixzeile, Compose-Dienst, Rollen und Schlues
496	FEAT-92	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Worklist-Dienst, Speicherhaelfte neu: V4 gegen das Zielschema ersetzen, samt Pol
495	FEAT-91	CORE	planned	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Planungsschicht der Worklist: die Verben, die Ableitung von planned und das Opti
494	CHORE-350	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Fassade in Plattform-Router umbenennen: Zielbild, abgeleitete Knoten und Zeilen,
493	CHORE-349	CORE	open	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Die vier grandfathered Ablehnungsgruende entscheiden: Vertrag anfassen oder Ausn
492	FEAT-90	CORE	done	assigned	kumbuka	Produktlinie	5	cluster:CORE	no	Dispatch und Worklist auf das ratifizierte Schichten- und Benennungsnormativ ang
491	BUG-50	CORE	open	assigned	kumbuka	Produktlinie	1	cluster:CORE	no	System-Guidance-Overlay unter Scope-Pinning unerreichbar: memory_load_context ha
490	BUG-49	CORE	open	assigned	kumbuka	Produktlinie	1	cluster:CORE	no	memory_load_context kappt still auf 20 Eintraege pro Typ und nennt weder Gesamtz
